,INCIDENT_ADDRESS,BOROUGH,COMMUNITY_BOARD,POLICE_PRECINCT,CITY_COUNCIL_DISTRICT,BBL,CREATED_DATE,STATUS,RESOLUTION_ACTION,CLOSED_DATE,X_COORDINATE,Y_COORDINATE
3212,241 1 AVENUE,MANHATTAN,06 MANHATTAN,Precinct 13,2.0,1009210027.0,03/21/2017,Open,Site downloaded for cleaning,,989169.0,205823.0
3213,1 CLINTON STREET,MANHATTAN,03 MANHATTAN,Precinct 7,2.0,1003500020.0,03/27/2017,Open,Site downloaded for cleaning,,988695.0,202039.0
3214,1919 U AVENUE,BROOKLYN,15 BROOKLYN,Precinct 61,48.0,3073240042.0,04/03/2017,Open,Site downloaded for cleaning,,997503.0,157619.0
3215,776 MELROSE AVENUE,BRONX,01 BRONX,Precinct 40,17.0,2023790007.0,03/09/2017,Open,Site downloaded for cleaning,,1007770.0,238746.0
3216,2096 STARLING AVENUE,BRONX,09 BRONX,Precinct 43,18.0,2039330109.0,03/06/2017,Open,Site downloaded for cleaning,,1024307.0,243894.0
3217,29-01 BROADWAY,QUEENS,01 QUEENS,Precinct 114,22.0,4005880008.0,02/17/2017,Open,Site downloaded for cleaning,,1004511.0,217149.0
3218,190 KNICKERBOCKER AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,34.0,3031650033.0,02/17/2017,Open,Site downloaded for cleaning,,1004476.0,195679.0
3219,1687 JEROME AVENUE,BRONX,05 BRONX,Precinct 46,14.0,2028610029.0,02/14/2017,Open,Site downloaded for cleaning,,1008243.0,247662.0
3220,1710 AMSTERDAM AVENUE,MANHATTAN,09 MANHATTAN,Precinct 30,7.0,1020760031.0,02/14/2017,Open,Site downloaded for cleaning,,998685.0,239825.0
3221,985 EAST  174 STREET,BRONX,03 BRONX,Precinct 42,17.0,2029980166.0,02/28/2017,Open,Site downloaded for cleaning,,1016116.0,244019.0
3222,1126 WESTCHESTER AVENUE,BRONX,02 BRONX,Precinct 41,17.0,2027500013.0,02/21/2017,Open,Site downloaded for cleaning,,1014600.0,240036.0
3223,2805 HEATH AVENUE,BRONX,08 BRONX,Precinct 50,14.0,2032590001.0,02/01/2017,Open,Site downloaded for cleaning,,1010676.0,257330.0
3224,1190 BROADWAY,BROOKLYN,03 BROOKLYN,Precinct 81,41.0,3016130012.0,01/02/2017,Open,Site downloaded for cleaning,,1004418.0,191565.0
3225,2492 ADAM CLAYTON POWELL BOULEVARD,MANHATTAN,10 MANHATTAN,Precinct 32,9.0,1020300034.0,01/20/2017,Open,Site downloaded for cleaning,,1001061.0,238541.0
3226,49 HESTER STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1.0,1003107501.0,01/23/2017,Open,Site downloaded for cleaning,,987011.0,200007.0
3227,39-29 47 AVENUE,QUEENS,02 QUEENS,Precinct 108,26.0,4001940006.0,12/04/2016,Open,Site downloaded for cleaning,,1004909.0,209580.0
3228,1078 BEDFORD AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,36.0,3019680029.0,10/06/2016,Open,Site downloaded for cleaning,,996780.0,189888.0
3229,6904 5 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43.0,3058730045.0,09/29/2016,Open,Site downloaded for cleaning,,978399.0,170015.0
3230,448 WEST   30 STREET,MANHATTAN,04 MANHATTAN,Precinct 10,3.0,1007270001.0,11/01/2016,Open,Mail returned / wrong address,,984490.0,212995.0
3231,550 WEST   21 STREET,MANHATTAN,04 MANHATTAN,Precinct 10,3.0,1006920061.0,04/21/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,982411.0,211443.0
3232,37-15 61 STREET,QUEENS,02 QUEENS,Precinct 108,26.0,4012160032.0,05/03/2017,Open,Site downloaded for cleaning,,1011432.0,212140.0
3233,173 WOODPOINT ROAD,BROOKLYN,01 BROOKLYN,Precinct 94,34.0,3028840006.0,04/20/2017,Open,Site downloaded for cleaning,,1000351.0,200371.0
3234,2355 MCDONALD AVENUE,BROOKLYN,15 BROOKLYN,Precinct 61,47.0,3071470012.0,04/08/2017,Open,Site downloaded for cleaning,,991599.0,155959.0
3235,2436 MCDONALD AVENUE,BROOKLYN,15 BROOKLYN,Precinct 61,47.0,3071490021.0,04/08/2017,Open,Site downloaded for cleaning,,991521.0,155279.0
3236,266 EAST  205 STREET,BRONX,07 BRONX,Precinct 52,11.0,2033410007.0,03/08/2017,Open,Site downloaded for cleaning,,1017708.0,257665.0
3237,1919 WESTCHESTER AVENUE,BRONX,09 BRONX,Precinct 43,18.0,2039300001.0,03/24/2017,Open,Site downloaded for cleaning,,1023014.0,242920.0
3238,850 HUNTS POINT AVENUE,BRONX,02 BRONX,Precinct 41,17.0,2027620035.0,03/06/2017,Open,Site downloaded for cleaning,,1015068.0,237236.0
3239,4222 3 AVENUE,BRONX,06 BRONX,Precinct 48,15.0,2030600006.0,02/13/2017,Open,Site downloaded for cleaning,,1013023.0,247872.0
3240,91-75 111 STREET,QUEENS,09 QUEENS,Precinct 102,28.0,4093180032.0,02/09/2017,Open,Site downloaded for cleaning,,1029947.0,191767.0
3241,1566 ST NICHOLAS AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,10.0,1021580033.0,02/22/2017,Open,Site downloaded for cleaning,,1003513.0,250384.0
3242,548 EAST  149 STREET,BRONX,01 BRONX,Precinct 40,8.0,2022750017.0,03/02/2017,Open,Site downloaded for cleaning,,1008183.0,236017.0
3243,90-16 ELMHURST AVENUE,QUEENS,03 QUEENS,Precinct 115,21.0,4014780137.0,02/20/2017,Open,Site downloaded for cleaning,,1018579.0,212069.0
3244,815 FLATBUSH AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40.0,3050830003.0,02/23/2017,Open,Site downloaded for cleaning,,995552.0,177076.0
3245,131-57 FOWLER AVENUE,QUEENS,07 QUEENS,Precinct 109,20.0,4050760007.0,01/02/2017,Open,Site downloaded for cleaning,,1030553.0,213240.0
3246,97 LINDEN STREET,BROOKLYN,04 BROOKLYN,Precinct 83,34.0,3033230073.0,01/13/2017,Open,Site downloaded for cleaning,,1006445.0,191707.0
3247,2308 GRAND CONCOURSE,BRONX,05 BRONX,Precinct 46,15.0,2031590003.0,01/05/2017,Open,Site downloaded for cleaning,,1011982.0,251796.0
3248,431 KNICKERBOCKER AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,37.0,3032790001.0,01/10/2017,Open,Site downloaded for cleaning,,1006576.0,194120.0
3249,5107 7 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38.0,3008020006.0,12/27/2016,Open,Site downloaded for cleaning,,982418.0,173091.0
3250,158 DELANCY STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1.0,1003480033.0,11/17/2016,Open,Site downloaded for cleaning,,988069.0,200823.0
3251,8160 NEW UTRECHT AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,43.0,3063140090.0,11/16/2016,Open,Site downloaded for cleaning,,983799.0,161512.0
3252,986 GATES AVENUE,BROOKLYN,03 BROOKLYN,Precinct 81,41.0,3016380044.0,10/15/2016,Open,Site downloaded for cleaning,,1005161.0,190378.0
3253,450 SLOSSON AVENUE,STATEN ISLAND,02 STATEN ISLAND,Precinct 122,50.0,5006900245.0,07/30/2016,Open,Site downloaded for cleaning,,951910.0,161219.0
3254,8675 19 AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,47.0,3063720018.0,04/17/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,983735.0,159540.0
3255,375 BAY    8 STREET,BROOKLYN,11 BROOKLYN,Unspecified,43.0,3064800006.0,04/10/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,979272.0,159498.0
