,INCIDENT_ADDRESS,BOROUGH,COMMUNITY_BOARD,POLICE_PRECINCT,CITY_COUNCIL_DISTRICT,BBL,CREATED_DATE,STATUS,RESOLUTION_ACTION,CLOSED_DATE,X_COORDINATE,Y_COORDINATE
10479,48-02 25 AVENUE,QUEENS,01 QUEENS,Precinct 114,22.0,4007440040.0,06/06/2016,Closed,Cleaning crew dispatched.  Property cleaned.,09/27/2016,1010514.0,217963.0
10480,223 AVENUE A,MANHATTAN,03 MANHATTAN,Precinct 9,2.0,1004410029.0,09/13/2016,Closed,Cleaning crew dispatched.  Property cleaned.,04/27/2017,989635.0,205287.0
10481,410 54 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38.0,3008230009.0,12/07/2016,Closed,Cleaning crew dispatched.  Property cleaned.,04/26/2017,980264.0,173864.0
10482,255 9 STREET,BROOKLYN,06 BROOKLYN,Precinct 78,39.0,3010040012.0,02/07/2017,Closed,Cleaning crew dispatched. No graffiti on property.,04/25/2017,987595.0,183371.0
10483,301 CANAL STREET,MANHATTAN,02 MANHATTAN,Precinct 1,1.0,1002310001.0,02/20/2017,Closed,Cleaning crew dispatched.  Owner refused.,04/19/2017,983639.0,201459.0
10484,204 WALWORTH STREET,BROOKLYN,03 BROOKLYN,Precinct 79,33.0,3017630044.0,02/28/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/17/2017,997049.0,191558.0
10485,673 HUNTS POINT AVENUE,BRONX,02 BRONX,Precinct 41,17.0,2027660515.0,12/31/2016,Closed,Cleaning crew dispatched. No graffiti on property.,04/17/2017,1016033.0,235818.0
10486,1800 GRAND CONCOURSE,BRONX,05 BRONX,Precinct 46,15.0,2028260087.0,01/04/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/14/2017,1009659.0,247984.0
10487,2267 CROTONA AVENUE,BRONX,06 BRONX,Precinct 48,15.0,2031010013.0,03/06/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/05/2017,1016018.0,249461.0
10488,303 MULBERRY STREET,MANHATTAN,02 MANHATTAN,Precinct 9,1.0,1005220041.0,01/04/2017,Closed,Cleaning crew dispatched.  Cannot locate property.,04/03/2017,985694.0,203491.0
10489,885 3 AVENUE,MANHATTAN,06 MANHATTAN,Precinct 17,4.0,1013270001.0,10/24/2016,Closed,Cleaning crew dispatched. No graffiti on property.,03/29/2017,992790.0,215434.0
10490,108 WEST  145 STREET,MANHATTAN,10 MANHATTAN,Precinct 32,9.0,1020130038.0,01/13/2017,Closed,Cleaning crew dispatched.  Property cleaned.,03/28/2017,1001741.0,238276.0
10491,1945 MCDONALD AVENUE,BROOKLYN,15 BROOKLYN,Precinct 61,44.0,3066580068.0,01/27/2017,Closed,Cleaning crew dispatched. No graffiti on property.,03/24/2017,991938.0,159757.0
10492,5101 AVENUE N,BROOKLYN,18 BROOKLYN,Precinct 63,46.0,3078760001.0,12/10/2016,Closed,Cleaning crew dispatched.  Property cleaned.,03/21/2017,1004867.0,164814.0
10493,227-07 MERRICK BOULEVARD,QUEENS,13 QUEENS,Precinct 105,31.0,4129660020.0,10/29/2016,Closed,Cleaning crew dispatched.  Property cleaned.,02/27/2017,1055563.0,186009.0
10494,95-08 150 STREET,QUEENS,12 QUEENS,Precinct 103,28.0,4100020010.0,09/27/2016,Closed,Cleaning crew dispatched.  Property cleaned.,02/27/2017,1038884.0,194144.0
10495,58-20 FRANCIS LEWIS BOULEVARD,QUEENS,11 QUEENS,Precinct 111,20.0,4074500013.0,01/22/2017,Closed,Cleaning crew dispatched.  Property cleaned.,02/24/2017,1046173.0,210766.0
10496,814 9 AVENUE,MANHATTAN,04 MANHATTAN,Precinct 18,3.0,1010440003.0,09/25/2016,Closed,Cleaning crew dispatched. No graffiti on property.,01/25/2017,987781.0,218277.0
10497,960 MANHATTAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33.0,3025410005.0,08/21/2016,Closed,Cleaning crew dispatched.  Property cleaned.,12/14/2016,996848.0,205964.0
10498,250 LIVONIA AVENUE,BROOKLYN,16 BROOKLYN,Precinct 73,42.0,3035900016.0,10/02/2016,Closed,Cleaning crew dispatched.  Owner refused.,11/18/2016,1009607.0,180690.0
10499,226 MOTHER GASTON BOULEVARD,BROOKLYN,16 BROOKLYN,Precinct 73,41.0,3014550046.0,09/15/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/10/2016,1009659.0,184739.0
10500,81-08 QUEENS BOULEVARD,QUEENS,04 QUEENS,Precinct 110,25.0,4024740040.0,06/07/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/09/2016,1016963.0,208033.0
10501,135-28 BOOTH MEMORIAL AVENUE,QUEENS,07 QUEENS,Precinct 109,20.0,4063600030.0,08/08/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/07/2016,1031476.0,211675.0
10502,262 FIFTH AVENUE,MANHATTAN,05 MANHATTAN,Precinct 13,4.0,1008300044.0,07/04/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/03/2016,987847.0,210730.0
10503,48 ALLEN STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1.0,1003080023.0,06/10/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/02/2016,986575.0,200411.0
10504,316 5 AVENUE,MANHATTAN,05 MANHATTAN,Precinct 14,4.0,1008330045.0,05/23/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/31/2016,988237.0,211435.0
10505,2230 PROSPECT AVENUE,BRONX,06 BRONX,Precinct 48,15.0,2031120021.0,08/17/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/24/2016,1016137.0,248764.0
10506,51-01 GORSLINE STREET,QUEENS,04 QUEENS,Precinct 110,25.0,4024710100.0,05/08/2016,Closed,Cleaning crew dispatched.  Property cleaned.,09/26/2016,1016218.0,207891.0
10507,1142 BROADWAY,BROOKLYN,03 BROOKLYN,Precinct 81,36.0,3016040034.0,06/28/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/22/2016,1003951.0,191914.0
10508,2330 BASSFORD AVENUE,BRONX,06 BRONX,Precinct 48,15.0,2030530028.0,05/19/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/05/2016,1014189.0,251085.0
10509,272 54 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38.0,3008210040.0,06/27/2016,Closed,Cleaning crew dispatched.  Cannot locate property.,08/02/2016,979307.0,174622.0
10510,150 BANKER STREET,BROOKLYN,01 BROOKLYN,Precinct 94,33.0,3026410001.0,05/12/2016,Closed,Cleaning crew dispatched. No graffiti on property.,07/15/2016,996747.0,203021.0
10511,168 NORTH   14 STREET,BROOKLYN,01 BROOKLYN,Precinct 94,33.0,3022790001.0,05/12/2016,Closed,Cleaning crew dispatched.  Property cleaned.,07/11/2016,996423.0,202783.0
10512,591 MANHATTAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33.0,3026790023.0,12/05/2016,Closed,Cleaning crew dispatched.  Property cleaned.,04/26/2017,998016.0,202679.0
10513,7917 13 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43.0,3062680003.0,03/14/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/21/2017,981489.0,164383.0
10514,1258 FLATBUSH AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40.0,3052230099.0,03/01/2017,Closed,Cleaning crew dispatched. No graffiti on property.,04/20/2017,996821.0,172282.0
10515,249 GRAND STREET,BROOKLYN,01 BROOKLYN,Precinct 90,34.0,3023820023.0,03/01/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/18/2017,995680.0,199221.0
10516,529 EAST  138 STREET,BRONX,01 BRONX,Precinct 40,8.0,2022660037.0,01/05/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/18/2017,1006802.0,233401.0
10517,1760 AMSTERDAM AVENUE,MANHATTAN,09 MANHATTAN,Precinct 30,7.0,1020790029.0,02/14/2017,Closed,Cleaning crew dispatched. No graffiti on property.,04/17/2017,999037.0,240460.0
10518,1341 SECOND AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,4.0,1014250025.0,01/19/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/14/2017,995594.0,219040.0
10519,106 ELLIOT PLACE,BRONX,04 BRONX,Precinct 44,16.0,2028410045.0,02/23/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/13/2017,1007556.0,244845.0
10520,82 SOUTH FOURTH STREET,BROOKLYN,01 BROOKLYN,Precinct 90,34.0,3024420018.0,06/02/2016,Closed,Cleaning crew dispatched.  Property cleaned.,04/11/2017,993991.0,198888.0
10521,885 8 AVENUE,MANHATTAN,04 MANHATTAN,Precinct 18,3.0,1010437502.0,09/25/2016,Closed,Cleaning crew dispatched.  Property cleaned.,04/10/2017,988438.0,217617.0
10522,51 ARLINGTON AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37.0,3039170024.0,03/09/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/06/2017,1013976.0,186907.0
10523,29-07 40 ROAD,QUEENS,01 QUEENS,Precinct 114,26.0,4004020020.0,02/08/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/05/2017,1002022.0,213106.0
10524,5604 NEW UTRECHT AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,44.0,3056910012.0,02/23/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/04/2017,985436.0,169040.0
10525,1793 MCDONALD AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,44.0,3066080059.0,01/13/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/04/2017,991713.0,161344.0
10526,598 19 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,39.0,3008900037.0,01/30/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/03/2017,989976.0,177796.0
10527,450 EAST  138 STREET,BRONX,01 BRONX,Precinct 40,8.0,2022820025.0,01/05/2017,Closed,Cleaning crew dispatched. No graffiti on property.,03/24/2017,1006034.0,233820.0
10528,321 7 AVENUE,BROOKLYN,06 BROOKLYN,Precinct 78,39.0,3010900074.0,12/26/2016,Closed,Cleaning crew dispatched. No graffiti on property.,03/08/2017,989417.0,182326.0
10529,179 GRAHAM AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,34.0,3030430026.0,01/21/2017,Closed,Cleaning crew dispatched.  Property cleaned.,02/22/2017,999953.0,197312.0
10530,319 HOOPER STREET,BROOKLYN,01 BROOKLYN,Precinct 90,34.0,3024500022.0,12/14/2016,Closed,Cleaning crew dispatched. No graffiti on property.,02/22/2017,997176.0,197268.0
10531,55 LENOX AVENUE,MANHATTAN,10 MANHATTAN,Precinct 28,9.0,1018220035.0,10/27/2016,Closed,Cleaning crew dispatched.  Property cleaned.,12/14/2016,997754.0,230712.0
10532,506 94 STREET,BROOKLYN,10 BROOKLYN,Precinct 68,43.0,3061180012.0,10/26/2016,Closed,Cleaning crew dispatched.  Property cleaned.,12/08/2016,975841.0,163853.0
10533,825 ELTON AVENUE,BRONX,03 BRONX,Precinct 42,17.0,2023810027.0,09/30/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/21/2016,1008377.0,238971.0
10534,49 HEGEMAN AVENUE,BROOKLYN,16 BROOKLYN,Precinct 73,42.0,3036220001.0,10/15/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/18/2016,1009113.0,178222.0
10535,1099 RUTLAND ROAD,BROOKLYN,17 BROOKLYN,Precinct 67,41.0,3046000044.0,09/11/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/17/2016,1005495.0,181419.0
10536,84-60 GRAND AVENUE,QUEENS,04 QUEENS,Precinct 110,25.0,4028910027.0,07/29/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/10/2016,1016845.0,206958.0
10537,1502 66 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,38.0,3055580020.0,08/17/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/07/2016,984933.0,166102.0
10538,1087 ST NICHOLAS AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,7.0,1021220088.0,07/18/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/04/2016,1000869.0,244595.0
10539,243 9 AVENUE,MANHATTAN,04 MANHATTAN,Precinct 10,3.0,1007220043.0,05/08/2016,Closed,Cleaning crew dispatched. No graffiti on property.,10/31/2016,984099.0,211640.0
10540,308 68 STREET,BROOKLYN,10 BROOKLYN,Precinct 68,43.0,3058637501.0,06/05/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/28/2016,977247.0,171070.0
10541,802 EAST  165 STREET,BRONX,03 BRONX,Precinct 42,17.0,2026690034.0,05/25/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/17/2016,1011517.0,239663.0
10542,2172 AMSTERDAM AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,10.0,1021230096.0,06/21/2016,Closed,Cleaning crew dispatched. No graffiti on property.,10/14/2016,1001649.0,245173.0
10543,854 MANHATTAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33.0,3025740049.0,06/11/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/13/2016,997059.0,204922.0
10544,309 STUYVESANT AVENUE,BROOKLYN,03 BROOKLYN,Precinct 81,36.0,3016660010.0,08/25/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/12/2016,1003055.0,188382.0
10545,327 STUYVESANT AVENUE,BROOKLYN,03 BROOKLYN,Precinct 81,36.0,3016660001.0,06/10/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/12/2016,1003083.0,188195.0
10546,283 IRVING AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,37.0,3033190008.0,08/22/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/06/2016,1007695.0,194184.0
10547,88 BLEECKER STREET,MANHATTAN,02 MANHATTAN,Precinct 6,1.0,1005230038.0,05/08/2016,Closed,Cleaning crew dispatched.  Property cleaned.,09/30/2016,985231.0,204078.0
10548,133 LAFAYETTE AVENUE,BROOKLYN,02 BROOKLYN,Precinct 88,35.0,3021020069.0,05/18/2016,Closed,Cleaning crew dispatched.  Property cleaned.,09/15/2016,991885.0,189734.0
10549,204 NASSAU AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33.0,3026860007.0,05/10/2016,Closed,Cleaning crew dispatched.  Owner refused.,09/08/2016,999569.0,203631.0
10550,169 WYTHE AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33.0,3023340005.0,06/26/2016,Closed,Cleaning crew dispatched.  Property cleaned.,09/06/2016,994982.0,201126.0
10551,922 MANHATTAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33.0,3025590008.0,05/30/2016,Closed,Cleaning crew dispatched.  Property cleaned.,09/01/2016,996902.0,205531.0
10552,541 KNICKERBOCKER AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,37.0,3033260001.0,07/08/2016,Closed,Cleaning crew dispatched.  Owner refused.,08/29/2016,1007642.0,193325.0
10553,498 FLATBUSH AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,40.0,3050240048.0,05/09/2016,Closed,Cleaning crew dispatched. No graffiti on property.,08/26/2016,994858.0,180522.0
10554,434 CONEY ISLAND AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,39.0,3053310063.0,05/23/2016,Closed,Cleaning crew dispatched.  Owner refused.,08/17/2016,992267.0,175088.0
10555,4701 FOURTH AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38.0,3007650008.0,06/15/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/03/2016,981225.0,175383.0
10556,196 MARTENSE STREET,BROOKLYN,17 BROOKLYN,Precinct 67,40.0,3050910009.0,05/17/2016,Closed,Cleaning crew dispatched.  Property cleaned.,07/26/2016,997547.0,176662.0
10557,937 MANHATTAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33.0,3025500042.0,05/30/2016,Closed,Cleaning crew dispatched.  Property cleaned.,07/18/2016,996872.0,205722.0
10558,745 MANHATTAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33.0,3026190013.0,05/17/2016,Closed,Cleaning crew dispatched.  Property cleaned.,07/14/2016,997464.0,203944.0
10559,1758 WEST    2 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,44.0,3066540030.0,06/01/2016,Closed,Cleaning crew dispatched.  Property cleaned.,06/30/2016,991101.0,159810.0
10560,80 STRONG STREET,BRONX,08 BRONX,Precinct 50,14.0,2032490025.0,12/20/2016,Closed,Cleaning crew dispatched. No graffiti on property.,03/09/2017,1012315.0,256660.0
10561,216 MALCOM X BOULEVARD,BROOKLYN,03 BROOKLYN,Precinct 81,36.0,3016510046.0,02/24/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/19/2017,1003759.0,189172.0
10562,270 FORT WASHINGTON AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,10.0,1021420050.0,01/31/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/14/2017,1000575.0,246859.0
10563,48-32 186 STREET,QUEENS,11 QUEENS,Precinct 111,20.0,4056210012.0,03/06/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/05/2017,1041918.0,211651.0
10564,84-19 25 AVENUE,QUEENS,03 QUEENS,Precinct 115,22.0,4010960046.0,02/24/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/05/2017,1016214.0,217383.0
10565,25-01 85 STREET,QUEENS,03 QUEENS,Precinct 115,22.0,4013590003.0,02/24/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/05/2017,1016417.0,217306.0
10566,5817 6 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38.0,3008570002.0,01/10/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/05/2017,980664.0,172133.0
10567,36 KENILWORTH PLACE,BROOKLYN,14 BROOKLYN,Precinct 70,45.0,3052480022.0,09/29/2016,Closed,Cleaning crew dispatched.  Property cleaned.,03/31/2017,997760.0,170646.0
10568,342 WEST  123 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,9.0,1019490153.0,11/08/2016,Closed,Cleaning crew dispatched.  Property cleaned.,03/27/2017,997032.0,234230.0
10569,632 50 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38.0,3007930016.0,01/05/2017,Closed,Cleaning crew dispatched.  Property cleaned.,03/08/2017,982228.0,173636.0
10570,552 VAN NEST AVENUE,BRONX,11 BRONX,Precinct 49,15.0,2040230002.0,02/03/2017,Closed,Cleaning crew dispatched.  Cannot locate property.,03/07/2017,1020430.0,245962.0
10571,1 AVENUE J,BROOKLYN,12 BROOKLYN,Precinct 66,44.0,3054640052.0,08/02/2016,Closed,Cleaning crew dispatched.  Property cleaned.,12/08/2016,990724.0,166437.0
10572,1262 LELAND AVENUE,BRONX,09 BRONX,Precinct 43,18.0,2037670047.0,08/10/2016,Closed,Cleaning crew dispatched.  Owner refused.,11/17/2016,1022041.0,242326.0
10573,303 WEST   29 STREET,MANHATTAN,04 MANHATTAN,Precinct 14,3.0,1007530034.0,07/19/2016,Closed,Cleaning crew dispatched. No graffiti on property.,11/14/2016,985300.0,212251.0
10574,205 EAST  176 STREET,BRONX,05 BRONX,Precinct 46,15.0,2028020001.0,08/27/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/18/2016,1010224.0,248082.0
10575,576 SACKETT STREET,BROOKLYN,06 BROOKLYN,Precinct 78,39.0,3004330023.0,07/06/2016,Closed,Cleaning crew dispatched. No graffiti on property.,10/18/2016,988159.0,186773.0
10576,415 MANHATTAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33.0,3027230030.0,06/10/2016,Closed,Cleaning crew dispatched.  Property cleaned.,09/29/2016,998974.0,201279.0
10577,102-01 STRONG AVENUE,QUEENS,04 QUEENS,Precinct 110,21.0,4019330080.0,06/13/2016,Closed,Cleaning crew dispatched.  Property cleaned.,09/26/2016,1023273.0,209432.0
10578,92-11 35 AVENUE,QUEENS,03 QUEENS,Precinct 115,25.0,4014530034.0,05/08/2016,Closed,Cleaning crew dispatched.  Property cleaned.,09/26/2016,1018833.0,213564.0
10579,142-20 CHERRY AVENUE,QUEENS,07 QUEENS,Precinct 109,20.0,4051940040.0,06/29/2016,Closed,Cleaning crew dispatched. No graffiti on property.,09/26/2016,1033904.0,214464.0
10580,457 KEAP STREET,BROOKLYN,01 BROOKLYN,Precinct 90,34.0,3023740019.0,05/17/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/26/2016,997440.0,198885.0
10581,956 HANCOCK STREET,BROOKLYN,16 BROOKLYN,Precinct 73,41.0,3014920010.0,05/09/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/26/2016,1007234.0,189331.0
10582,1944 ANDREWS AVENUE,BRONX,05 BRONX,Precinct 46,14.0,2032160021.0,05/15/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/05/2016,1008324.0,250779.0
10583,267 GRAND STREET,BROOKLYN,01 BROOKLYN,Precinct 90,34.0,3023830039.0,05/23/2016,Closed,Cleaning crew dispatched.  Property cleaned.,07/05/2016,995910.0,199107.0
10584,498 LEONARD STREET,BROOKLYN,01 BROOKLYN,Precinct 94,33.0,3026980009.0,01/18/2017,Closed,Cleaning crew dispatched. No graffiti on property.,03/30/2017,998389.0,202352.0
10585,63 FLUSHING AVENUE,BROOKLYN,02 BROOKLYN,Precinct 88,33.0,3020230001.0,11/12/2016,Closed,Cleaning crew dispatched.  Property cleaned.,03/09/2017,991186.0,193585.0
10586,2935 BOSTON ROAD,BRONX,11 BRONX,Precinct 49,12.0,2045540045.0,03/08/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/18/2017,1023294.0,255673.0
10587,1225 RANDALL AVENUE,BRONX,02 BRONX,Precinct 41,17.0,2027650168.0,09/28/2016,Closed,Cleaning crew dispatched.  Owner refused.,03/01/2017,1014897.0,235024.0
10588,28-27 30 STREET,QUEENS,01 QUEENS,Precinct 114,22.0,4005950010.0,11/13/2016,Closed,Cleaning crew dispatched.  Property cleaned.,02/22/2017,1006019.0,219162.0
10589,502 WEST   45 STREET,MANHATTAN,04 MANHATTAN,Precinct 18,3.0,1010730028.0,08/04/2016,Closed,Cleaning crew dispatched.  Owner refused.,01/27/2017,985816.0,216770.0
10590,487 DRIGGS AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33.0,3023060005.0,10/25/2016,Closed,Cleaning crew dispatched.  Property cleaned.,12/09/2016,996766.0,201049.0
10591,161 FRONT STREET,MANHATTAN,01 MANHATTAN,Precinct 1,1.0,1000720012.0,05/20/2016,Closed,Cleaning crew dispatched. No graffiti on property.,12/06/2016,982836.0,196510.0
10592,4127 WHITE PLAINS ROAD,BRONX,12 BRONX,Precinct 47,12.0,2048330011.0,10/19/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/17/2016,1023388.0,264103.0
10593,90 NORTH    5 STREET,BROOKLYN,01 BROOKLYN,Precinct 94,33.0,3023427501.0,05/29/2016,Closed,Cleaning crew dispatched. No graffiti on property.,09/06/2016,995115.0,200828.0
10594,190 GRAND STREET,BROOKLYN,01 BROOKLYN,Precinct 90,34.0,3023930017.0,05/10/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/30/2016,995156.0,199493.0
10595,441 KNICKERBOCKER AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,37.0,3032890002.0,04/18/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1006692.0,194033.0
10596,6915 8 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43.0,3058770001.0,04/16/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,980075.0,168878.0
10597,2913 8 AVENUE,MANHATTAN,10 MANHATTAN,Precinct 32,9.0,1020470030.0,04/10/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1001502.0,241190.0
10598,194 WILSON AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,37.0,3032450037.0,04/20/2017,Open,Site downloaded for cleaning,,1005545.0,194044.0
10599,171-21 JAMAICA AVENUE,QUEENS,12 QUEENS,Precinct 103,27.0,4098060001.0,04/25/2017,Open,Site downloaded for cleaning,,1043030.0,197144.0
10600,511 85 STREET,BROOKLYN,10 BROOKLYN,Precinct 68,43.0,3060270001.0,05/02/2017,Open,Site downloaded for cleaning,,977249.0,165846.0
10601,3401 AVENUE S,BROOKLYN,18 BROOKLYN,Precinct 63,46.0,3085010011.0,04/11/2017,Open,Site downloaded for cleaning,,1002936.0,161115.0
10602,68 ST MARKS PLACE,BROOKLYN,02 BROOKLYN,Precinct 84,33.0,,04/13/2017,Open,Site downloaded for cleaning,,989665.0,187755.0
10603,506 COURT STREET,BROOKLYN,06 BROOKLYN,Precinct 76,39.0,3003770037.0,04/22/2017,Open,Site downloaded for cleaning,,984613.0,185775.0
10604,1891 CLOVE ROAD,STATEN ISLAND,02 STATEN ISLAND,Precinct 122,50.0,5029110030.0,03/14/2017,Open,Site downloaded for cleaning,,959862.0,160344.0
10605,2121 AVENUE Z,BROOKLYN,15 BROOKLYN,Precinct 61,48.0,3074410332.0,03/23/2017,Open,Site downloaded for cleaning,,998682.0,153748.0
10606,451 4 STREET,BROOKLYN,06 BROOKLYN,Precinct 78,39.0,3009830045.0,04/03/2017,Open,Site downloaded for cleaning,,989961.0,183408.0
10607,855 EAST  175 STREET,BRONX,06 BRONX,Precinct 48,17.0,2029580031.0,02/09/2017,Open,Site downloaded for cleaning,,1014975.0,245410.0
10608,95-17 SUTPHIN BOULEVARD,QUEENS,12 QUEENS,Precinct 103,28.0,4100270033.0,02/16/2017,Open,Site downloaded for cleaning,,1037950.0,193719.0
10609,122 ORCHARD STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1.0,1004100002.0,01/31/2017,Open,Site downloaded for cleaning,,987170.0,201444.0
10610,1034 NOSTRAND AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,40.0,3013200040.0,03/02/2017,Open,Site downloaded for cleaning,,997874.0,180833.0
10611,556 WEST  140 STREET,MANHATTAN,09 MANHATTAN,Precinct 30,7.0,1020710061.0,03/02/2017,Open,Site downloaded for cleaning,,997575.0,239076.0
10612,99 EAST    4 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,2.0,1004467502.0,02/21/2017,Open,Site downloaded for cleaning,,987358.0,203752.0
10613,984 JENNINGS STREET,BRONX,03 BRONX,Precinct 42,17.0,2029990024.0,02/21/2017,Open,Site downloaded for cleaning,,1015293.0,242200.0
10614,5801 FIFTH AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38.0,3008560008.0,03/02/2017,Open,Site downloaded for cleaning,,980071.0,172642.0
10615,8025 FIFTH AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43.0,3059900001.0,03/02/2017,Open,Site downloaded for cleaning,,977522.0,167179.0
10616,560 EVERGREEN AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,34.0,3033670039.0,01/09/2017,Open,Site downloaded for cleaning,,1007456.0,190946.0
10617,217 BOWERY,MANHATTAN,03 MANHATTAN,Precinct 5,1.0,1004260002.0,01/04/2017,Open,Site downloaded for cleaning,,986064.0,202246.0
10618,7703 NEW UTRECHT AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,43.0,3062470069.0,01/09/2017,Open,Site downloaded for cleaning,,984132.0,162987.0
10619,204 EAST  170 STREET,BRONX,04 BRONX,Precinct 44,16.0,2028310048.0,01/04/2017,Open,Site downloaded for cleaning,,1008229.0,244796.0
10620,3007 BEVERLY ROAD,BROOKLYN,17 BROOKLYN,Precinct 67,45.0,3049150039.0,01/26/2017,Open,Site downloaded for cleaning,,998465.0,174326.0
